sample_idx,model_type,rel_l2,pde_residual
224,PI-FNO,0.2828531563282013,46.596553802490234
224,Data-Driven FNO,0.3018272817134857,74.91230773925781
225,PI-FNO,0.41050970554351807,51.992645263671875
225,Data-Driven FNO,0.40612244606018066,79.67938995361328
226,PI-FNO,0.31798985600471497,18.650161743164062
226,Data-Driven FNO,0.36103785037994385,31.12029457092285
227,PI-FNO,0.6532684564590454,9.453679084777832
227,Data-Driven FNO,0.6125543117523193,21.784757614135742
228,PI-FNO,0.3256082236766815,12.149455070495605
228,Data-Driven FNO,0.3979099988937378,21.5130558013916
229,PI-FNO,0.5472638010978699,148.90771484375
229,Data-Driven FNO,0.5629730224609375,227.5276336669922
230,PI-FNO,0.7004074454307556,218.02708435058594
230,Data-Driven FNO,0.7365368604660034,310.5218811035156
231,PI-FNO,0.36694759130477905,107.39618682861328
231,Data-Driven FNO,0.4016141891479492,233.77597045898438
232,PI-FNO,0.3122500479221344,16.98776626586914
232,Data-Driven FNO,0.2905845642089844,36.30195617675781
233,PI-FNO,0.5164785385131836,24.584671020507812
233,Data-Driven FNO,0.48193854093551636,42.79133224487305
234,PI-FNO,0.6514846682548523,91.68998718261719
234,Data-Driven FNO,0.6736198663711548,131.87762451171875
235,PI-FNO,0.6882400512695312,47.29658889770508
235,Data-Driven FNO,0.7134274244308472,78.3008041381836
236,PI-FNO,0.30480700731277466,58.784934997558594
236,Data-Driven FNO,0.33707061409950256,98.77042388916016
237,PI-FNO,0.37154513597488403,44.13615798950195
237,Data-Driven FNO,0.40958741307258606,106.64070892333984
238,PI-FNO,0.37619760632514954,36.884742736816406
238,Data-Driven FNO,0.4156358540058136,71.14739227294922
239,PI-FNO,0.5017077922821045,63.30923080444336
239,Data-Driven FNO,0.5637643933296204,94.55927276611328
240,PI-FNO,0.5087080597877502,31.116531372070312
240,Data-Driven FNO,0.5262970328330994,63.33552932739258
241,PI-FNO,0.6887267231941223,24.38397216796875
241,Data-Driven FNO,0.6658441424369812,34.83999252319336
242,PI-FNO,0.3596509099006653,20.351625442504883
242,Data-Driven FNO,0.41811248660087585,30.50899314880371
243,PI-FNO,0.4338277280330658,90.28387451171875
243,Data-Driven FNO,0.4155842065811157,134.34042358398438
244,PI-FNO,0.3912014067173004,102.186279296875
244,Data-Driven FNO,0.4439285397529602,163.9984893798828
245,PI-FNO,0.29428520798683167,10.459197044372559
245,Data-Driven FNO,0.31543025374412537,18.72435188293457
246,PI-FNO,0.5009011030197144,36.81614303588867
246,Data-Driven FNO,0.5458691716194153,52.463802337646484
247,PI-FNO,0.39322173595428467,156.97413635253906
247,Data-Driven FNO,0.46601662039756775,293.8927917480469
248,PI-FNO,0.43253934383392334,14.335028648376465
248,Data-Driven FNO,0.4684290885925293,33.30587387084961
249,PI-FNO,0.5802570581436157,33.41781234741211
249,Data-Driven FNO,0.5457672476768494,46.00326919555664
250,PI-FNO,0.4123179614543915,15.45173168182373
250,Data-Driven FNO,0.48011937737464905,29.14760398864746
251,PI-FNO,1.0326015949249268,3.8413703441619873
251,Data-Driven FNO,1.0917391777038574,5.251317977905273
252,PI-FNO,0.6635353565216064,6.315175533294678
252,Data-Driven FNO,0.7068488597869873,12.94587516784668
